service_date,operator,route_code,departure_station,arrival_station,departure_time,arrival_time,duration_min,adult_single_from_eur,notes
2026-01-01,Iarnród Éireann / NI Railways (Enterprise),DUB-BFS,Dublin Connolly,Belfast (Grand Central),06:50,09:00,130,22.0,Template schedule (replace with Enterprise timetable for exact times).
2026-01-01,Iarnród Éireann / NI Railways (Enterprise),DUB-BFS,Dublin Connolly,Belfast (Grand Central),08:50,11:00,130,22.0,Template schedule (replace with Enterprise timetable for exact times).
2026-01-01,Iarnród Éireann / NI Railways (Enterprise),DUB-BFS,Dublin Connolly,Belfast (Grand Central),10:50,13:00,130,22.0,Template schedule (replace with Enterprise timetable for exact times).
2026-01-01,Iarnród Éireann / NI Railways (Enterprise),DUB-BFS,Dublin Connolly,Belfast (Grand Central),12:50,15:00,130,22.0,Template schedule (replace with Enterprise timetable for exact times).
2026-01-01,Iarnród Éireann / NI Railways (Enterprise),DUB-BFS,Dublin Connolly,Belfast (Grand Central),14:50,17:00,130,22.0,Template schedule (replace with Enterprise timetable for exact times).
2026-01-01,Iarnród Éireann / NI Railways (Enterprise),DUB-BFS,Dublin Connolly,Belfast (Grand Central),16:50,19:00,130,22.0,Template schedule (replace with Enterprise timetable for exact times).
2026-01-01,Iarnród Éireann / NI Railways (Enterprise),DUB-BFS,Dublin Connolly,Belfast (Grand Central),18:50,21:00,130,22.0,Template schedule (replace with Enterprise timetable for exact times).
2026-01-01,Iarnród Éireann / NI Railways (Enterprise),DUB-BFS,Dublin Connolly,Belfast (Grand Central),20:50,23:00,130,22.0,Template schedule (replace with Enterprise timetable for exact times).
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),06:00,08:32,152,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),07:00,09:35,155,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),08:00,10:38,158,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),09:00,11:41,161,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),10:00,12:32,152,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),11:00,13:41,161,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),12:00,14:33,153,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),13:00,15:33,153,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),14:00,16:39,159,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),15:00,17:32,152,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),16:00,18:28,148,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),17:00,19:29,149,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),17:05,19:55,170,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),18:00,20:37,157,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),19:00,21:48,168,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),21:00,23:39,159,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-CRK,Dublin Heuston,Cork (Kent),21:00,23:39,159,34.1,Direct services; timetable excludes public holidays in the PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),05:45,08:36,171,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),07:35,10:12,157,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),07:35,10:15,160,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),09:25,11:50,145,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),09:25,11:55,150,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),11:30,13:51,141,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),13:30,15:50,140,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),15:35,18:00,145,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
2026-01-01,Iarnród Éireann (Irish Rail),DUB-GWY,Dublin Heuston,Galway (Ceannt),16:30,18:57,147,24.6,Based on the PDF timetable columns; some columns in the PDF are '..' (no service). Excludes public holidays per PDF.
